ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,20,0.01917052700000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,21,0.01946350600000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,22,0.01996732500000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,23,0.020580053
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,24,0.02073969000000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,25,0.020487718
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,26,0.01975534900000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,27,0.01953577999999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,28,0.01952667500000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,29,0.019571923
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,30,0.019754702
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,31,0.020210042
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,32,0.02083080799999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,33,0.02116900000000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,34,0.021109434
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,35,0.02085041999999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,36,0.02054535999999998
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,37,0.020319
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,38,0.02018112
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,39,0.02010415999999998
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,40,0.02006163999999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,5,0.021375976
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,6,0.021119213
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,7,0.020989696
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,8,0.020671817
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,9,0.020422824
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,10,0.020390249
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,11,0.020448524
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,12,0.019783128
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,13,0.019683112
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,14,0.01982785400000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,15,0.018566076
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,16,0.019125775
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,17,0.019534022
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,18,0.019564774
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,19,0.01927616100000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,20,0.017789651
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,21,0.01813796200000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,22,0.01858947399999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,23,0.019302845
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,24,0.01970087700000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,25,0.01954649400000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,26,0.018207587
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,27,0.018155222
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,28,0.01817904799999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,29,0.018240173
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,30,0.01838366
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,31,0.018639084
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,32,0.019017113
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,33,0.01941632700000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,34,0.01961359
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,35,0.01951234
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,36,0.01924084
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,37,0.01898958999999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,38,0.01882235
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,39,0.01871092000000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,40,0.01863505
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,5,0.033645451
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,6,0.03385771999999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,7,0.033941141
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,8,0.033899965
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,9,0.033886161
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,10,0.03389170799999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,11,0.034010515
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,12,0.03393286099999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,13,0.033937276
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,14,0.03349791100000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,15,0.033327695
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,16,0.033407703
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,17,0.033648152
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,18,0.03336808400000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,19,0.033126999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,20,0.033366453
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,21,0.033472356
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,22,0.033105708
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,23,0.03263489899999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,24,0.03279797400000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,25,0.032956969
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,26,0.03300418000000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,27,0.032974701
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,28,0.03294320000000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,29,0.03295819100000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,30,0.03298524300000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,31,0.032858202
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,32,0.03169817799999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,33,0.03201517199999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,34,0.03242701299999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,35,0.03280735
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,36,0.03317527000000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,37,0.03358707000000001
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,38,0.03407892
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,39,0.03454317999999999
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,1,40,0.03484043999999999
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,5,0.02286641
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,6,0.023491329
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,7,0.02395185999999999
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,8,0.024372902
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,9,0.024832085
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,10,0.025238868
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,11,0.025441967
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,12,0.025700049
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,13,0.026226438
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,14,0.026525516
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,15,0.026506476
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,16,0.026753456
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,17,0.027071632
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,18,0.027394798
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,19,0.027626041
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,20,0.02754199800000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,21,0.02755043300000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,22,0.02797146900000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,23,0.02840220600000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,24,0.02868557000000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,25,0.028800428
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,26,0.027748906
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,27,0.02759033900000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,28,0.028134857
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,29,0.028826271
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,30,0.029510391
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,31,0.02993131
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,32,0.030120547
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,33,0.03013576300000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,34,0.02990143399999999
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,35,0.027369215
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,36,0.027766921
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,37,0.02814024999999999
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,38,0.02847403000000001
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,39,0.02893889999999999
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,0,40,0.02959951999999999
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,5,0.010222791
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,6,0.010026138
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,7,0.009980125
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,8,0.010041119
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,9,0.009788756999999999
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,10,0.009666633999999997
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,11,0.010002102
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,12,0.009951866999999996
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,0,13,0.009753010999999999
